id,carat,cut,price,color,clarity
A235,1.51,Good,14654,G,IF
A236,1.7,Ideal,17360,F,VS2
A237,0.42,Ideal,1289,G,IF
A238,0.36,Ideal,626,D,SI1
A239,0.74,Very Good,2298,F,SI2
A240,0.61,Ideal,2286,G,VS2
A241,0.55,Ideal,1896,F,VS1
A242,1,Very Good,4739,I,VS2
A243,1.02,Ideal,4243,H,SI2
A244,1,Premium,4732,H,VS1
A245,0.33,Premium,854,F,VS2
A246,0.31,Premium,802,F,VS2
A247,1.16,Ideal,9432,F,VS2
A248,1.17,Ideal,5743,G,SI2
A249,0.62,Ideal,1364,F,SI2
A250,0.31,Good,476,H,VS1
A251,0.41,Very Good,991,H,VVS1
A252,1.04,Very Good,7207,F,VS1
A253,0.7,Ideal,2671,F,SI1
A254,0.33,Very Good,614,H,VVS2
A255,1.5,Good,8347,J,VS1
A256,0.6,Ideal,2298,F,VVS2
A257,1.2,Ideal,7190,H,VS2
A258,0.31,Very Good,544,E,SI1
A259,0.7,Good,2681,D,SI1
A260,1.2,Premium,9370,F,VS1
A261,0.37,Ideal,745,G,SI1
A262,0.42,Premium,773,F,SI1
A263,0.83,Ideal,2241,J,VS2
A264,0.3,Ideal,552,D,SI1
A265,0.32,Ideal,732,G,VVS1
A266,0.34,Very Good,477,E,SI2
A267,0.7,Very Good,2905,G,VVS2
A268,0.88,Very Good,5052,F,VVS2
A269,0.55,Ideal,1634,H,VS1
A270,0.27,Ideal,464,H,VS1
A271,1.14,Premium,4884,G,SI2
A272,1.05,Ideal,4494,I,SI1
A273,0.3,Very Good,473,J,VS2
A274,1.5,Very Good,7365,H,SI2
A275,1.91,Premium,9038,G,SI2
A276,0.44,Premium,1232,D,VS1
A277,1.07,Very Good,4609,E,SI2
A278,0.5,Good,1690,G,VVS2
A279,0.41,Premium,1061,G,VS2
A280,0.7,Premium,2536,I,VVS1
A281,0.38,Ideal,1031,H,VVS2
A282,1.25,Ideal,13536,E,VVS1
A283,0.5,Ideal,1374,F,SI1
A284,0.24,Ideal,364,G,SI1
A285,1.06,Very Good,4570,E,SI2
A286,0.83,Premium,2863,G,SI1
A287,0.3,Ideal,766,E,VVS2
A288,0.6,Very Good,2528,G,VVS1
A289,0.5,Fair,1176,E,SI1
A290,0.9,Very Good,3295,H,SI2
A291,0.3,Premium,675,H,VS1
A292,0.31,Premium,593,I,SI1
A293,1.56,Ideal,13787,G,VS2
A294,0.71,Ideal,3123,F,VS2
A295,1.51,Good,3497,G,I1
A296,1.01,Ideal,7528,E,VS1
A297,0.38,Ideal,680,H,VS2
A298,2,Premium,12940,H,SI2
A299,1.03,Premium,6460,E,VS2
A300,0.52,Very Good,1748,F,VS1
A301,0.39,Ideal,979,D,VS1
A302,2,Premium,12987,E,SI2
A303,0.3,Premium,605,H,VVS2
A304,1.01,Premium,5599,E,SI1
A305,0.31,Premium,816,G,VVS1
A306,1.12,Ideal,8430,D,VS2
A307,0.3,Ideal,605,F,VS2
A308,0.4,Premium,1088,F,VVS2
A309,0.9,Premium,3669,G,SI1
A310,0.71,Premium,2363,H,VS2
A311,0.54,Premium,1241,G,SI1
A312,0.9,Ideal,4612,D,SI1
A313,0.79,Very Good,2348,H,SI2
A314,1.6,Ideal,13140,F,SI1
A315,1.03,Very Good,4374,G,SI2
A316,0.55,Premium,1134,E,SI2
A317,0.8,Ideal,3732,H,VVS1
A318,0.41,Ideal,875,I,VVS1
A319,0.26,Premium,382,H,VS1
A320,0.31,Very Good,544,G,VS2
A321,1.09,Very Good,4629,F,SI2
A322,0.3,Premium,911,D,VS2
A323,1.11,Ideal,4273,I,SI1
A324,0.62,Ideal,2469,H,IF
A325,0.59,Premium,1837,I,VVS1
A326,0.56,Ideal,1723,F,VS2
A327,0.57,Very Good,4032,D,IF
A328,1,Premium,5292,F,SI1
A329,1.04,Ideal,6173,G,VVS2
A330,0.7,Fair,2000,E,SI1
A331,0.7,Ideal,2407,E,SI1
A332,1.13,Premium,5012,E,SI1
A333,1.51,Premium,17936,D,VS1
A334,0.71,Very Good,2455,E,SI1
A335,0.43,Premium,1064,D,SI1
A336,0.55,Ideal,1368,F,SI1
A337,1.54,Premium,8969,G,SI2
A338,1,Very Good,4620,E,SI2
A339,2.5,Fair,14652,J,SI2
A340,1,Good,4761,I,VS2
A341,1.01,Ideal,4783,G,SI2
A342,1.02,Premium,4718,D,SI2
A343,0.32,Premium,505,I,VS1
A344,1.71,Good,7508,J,SI2
A345,0.31,Ideal,707,H,VVS1
A346,0.33,Ideal,946,G,IF
A347,0.52,Very Good,1438,E,SI1
A348,1.5,Ideal,11189,H,SI1
A349,0.3,Premium,567,I,VS1
A350,0.3,Premium,878,G,VVS2
A351,0.5,Good,1795,D,VS1
A352,0.52,Ideal,2065,G,VVS1
A353,0.47,Good,1613,E,VVS1
A354,1.3,Ideal,6559,F,SI2
A355,0.31,Ideal,871,G,IF
A356,0.34,Very Good,626,D,SI1
A357,1.01,Ideal,3777,F,SI2
A358,0.64,Ideal,4281,D,VVS1
A359,0.31,Good,489,H,VS2
A360,0.7,Premium,2196,F,SI1
A361,0.7,Premium,3062,F,VVS2
A362,1.17,Ideal,9225,G,VVS2
A363,0.26,Very Good,564,E,VVS2
A364,1,Good,7084,E,VVS1
A365,0.4,Ideal,667,I,VS2
A366,1,Fair,4657,F,SI1
A367,0.47,Premium,1102,G,VS2
A368,0.34,Ideal,745,F,VS1
A369,0.33,Good,579,I,VVS2
A370,0.52,Very Good,1670,E,VS2
A371,1.02,Ideal,6797,H,VVS2
A372,1.71,Premium,10055,I,VS1
A373,1.01,Ideal,6257,D,SI1
A374,1.4,Premium,8624,H,SI1
A375,1.05,Ideal,5192,G,SI1
A376,0.32,Ideal,1018,E,IF
A377,1.21,Ideal,5624,H,SI2
A378,1.14,Ideal,5501,H,SI1
A379,0.4,Very Good,606,J,VS1
A380,1.01,Very Good,4185,I,SI1
A381,0.4,Premium,1200,D,VS1
A382,1.52,Fair,5916,J,SI2
A383,0.76,Premium,2814,E,SI1
A384,0.5,Ideal,1011,G,SI2
A385,0.28,Ideal,780,D,VVS1
A386,1.11,Ideal,5315,H,SI1
A387,0.38,Premium,700,H,VS2
A388,1,Very Good,6040,D,SI1
A389,0.56,Ideal,1605,I,VVS1
A390,0.34,Premium,995,E,VVS2
A391,0.82,Ideal,3123,G,SI1
A392,1.04,Premium,4507,F,SI2
A393,0.47,Ideal,1865,H,IF
A394,1.02,Premium,5100,H,VS2
A395,1.02,Very Good,6047,D,SI1
A396,0.41,Premium,719,G,SI1
A397,0.44,Very Good,1158,E,VS1
A398,0.5,Premium,1654,E,VS2
A399,1,Premium,3780,J,SI1
A400,2.05,Premium,12766,I,VS1
A401,0.75,Very Good,2698,E,SI1
A402,0.95,Good,3214,D,SI2
A403,0.51,Ideal,1438,E,SI1
A404,0.3,Ideal,405,I,SI2
A405,1.19,Very Good,7147,H,VS1
A406,1,Fair,2974,D,SI2
A407,1.6,Ideal,10798,E,SI2
A408,0.38,Premium,838,F,SI1
A409,0.33,Premium,1002,D,VVS2
A410,0.8,Ideal,3630,E,SI1
A411,1.5,Premium,13107,H,IF
A412,0.3,Ideal,956,E,VVS1
A413,0.3,Ideal,605,H,VVS2
A414,0.27,Very Good,620,E,VVS2
A415,0.46,Very Good,1417,E,VS1
A416,1.51,Premium,8388,H,SI2
A417,1.03,Premium,7192,E,VS2
A418,0.33,Premium,668,H,VS2
A419,1.01,Premium,4559,H,SI1
A420,0.4,Ideal,1050,D,VS2
A421,0.8,Ideal,3648,E,VS2
A422,0.71,Very Good,2382,G,VS2
A423,0.34,Premium,880,F,VS2
A424,0.5,Good,1235,D,SI1
A425,1.22,Ideal,11870,F,VVS2
A426,0.59,Very Good,1764,F,VS2
A427,0.78,Ideal,3613,G,VS2
A428,1.21,Very Good,9942,G,VVS2
A429,0.33,Very Good,795,G,VVS1
A430,0.35,Ideal,478,J,VS1
A431,1.19,Good,4931,J,VS1
A432,1.25,Premium,8099,H,VS1
A433,1.07,Premium,5704,D,SI1
A434,0.75,Very Good,3048,D,SI1
A435,1.51,Ideal,8794,G,SI2
A436,2.3,Ideal,14744,G,SI2
A437,0.72,Premium,2670,F,SI1
A438,0.35,Premium,829,D,VS2
A439,0.34,Good,689,H,VS2
A440,1.01,Fair,4072,G,VS2
A441,0.9,Very Good,3706,D,SI2
A442,1,Good,4218,D,SI2
A443,0.81,Ideal,4314,E,VS2
A444,1.13,Ideal,5050,H,SI1
A445,0.3,Ideal,616,D,VS2
A446,0.31,Ideal,1046,G,VVS1
A447,0.3,Very Good,675,H,VS1
A448,1.23,Premium,4773,I,SI2
A449,2.16,Premium,17891,J,VVS1
A450,1.11,Ideal,4709,I,SI1
A451,0.54,Premium,1847,D,VS1
A452,1.02,Premium,6909,D,VS2
A453,1.51,Premium,7577,I,SI2
A454,0.73,Ideal,3195,D,SI1
A455,1.03,Premium,5012,I,VS1
A456,1.07,Very Good,7513,F,VS1
A457,0.34,Ideal,626,D,SI1
A458,0.5,Fair,1234,G,VS1
A459,1.03,Good,2220,J,I1
A460,0.4,Good,1404,F,IF
A461,0.7,Premium,2818,E,VS2
A462,1.52,Premium,8110,J,VS1
A463,2.02,Premium,13267,F,SI2
A464,0.4,Good,622,D,SI2
A465,0.79,Ideal,3861,E,VS2
A466,0.47,Premium,1244,H,VS1
A467,0.33,Premium,463,E,SI2
A468,1.21,Very Good,4404,I,SI1
A469,0.51,Very Good,1601,F,VS2
A470,1.01,Ideal,4803,G,SI2
A471,0.77,Ideal,2519,E,SI2
A472,1.01,Fair,4525,E,VS2
A473,0.62,Very Good,1734,H,VS2
A474,0.31,Ideal,421,I,VS2
A475,2.04,Very Good,13790,H,SI2
A476,0.41,Premium,705,E,SI1
A477,1.26,Premium,10669,F,VS1
A478,0.36,Ideal,1033,D,VVS2
A479,0.71,Premium,2694,G,VS2
A480,0.42,Ideal,882,G,SI1
A481,0.31,Premium,707,H,VVS1
A482,1,Premium,6048,G,VS2
A483,0.31,Ideal,682,E,VS1
A484,1.01,Premium,6843,E,VS2
A485,0.71,Good,2396,F,SI1
A486,1.02,Very Good,7779,E,VS1
A487,0.73,Ideal,2581,E,SI2
A488,0.4,Very Good,982,D,VS2
A489,0.5,Fair,1323,D,SI1
A490,1.28,Premium,6451,I,VS2
A491,0.91,Good,3539,F,SI2
A492,1.21,Very Good,5866,I,VS1
A493,0.24,Very Good,336,I,VVS1
A494,0.38,Very Good,995,D,VS1
A495,0.9,Very Good,4358,G,VS1
A496,0.8,Very Good,4263,E,VS2
A497,0.28,Very Good,487,F,VS1
A498,1.02,Ideal,6333,G,VS2
A499,0.51,Premium,1836,F,VS1
A500,0.72,Fair,2691,E,VS2
A501,0.9,Premium,4022,G,VS2
A502,1.22,Ideal,8313,G,VS1
A503,0.4,Ideal,926,H,VS2
A504,0.8,Premium,2371,F,SI2
A505,0.71,Ideal,3247,E,VS2
A506,0.7,Good,2394,I,VVS2
A507,1.11,Very Good,5450,H,VS2
A508,0.7,Very Good,2337,D,SI2
A509,0.42,Very Good,756,D,SI1
A510,0.36,Ideal,949,G,VS1
A511,0.38,Very Good,988,F,VS1
A512,1.02,Premium,7389,F,VS1
A513,0.5,Ideal,2025,D,VS1
A514,1.07,Ideal,8640,F,VS2
A515,1.52,Premium,8631,I,SI1
A516,0.7,Very Good,2575,E,SI1
A517,1,Fair,5096,D,SI1
A518,1.71,Very Good,17052,F,VS2
A519,0.51,Premium,1343,G,VS2
A520,0.3,Premium,882,F,VVS2
A521,0.6,Premium,1625,E,SI1
A522,1,Premium,6303,D,VS2
A523,0.9,Premium,3398,I,VS2
A524,0.7,Ideal,2171,F,SI2
A525,0.52,Good,1244,F,SI1
A526,1.23,Good,3977,D,I1
A527,1.01,Good,4185,G,SI2
A528,0.52,Ideal,1454,I,VVS1
A529,0.38,Premium,1069,H,VVS2
A530,2.01,Premium,16733,H,SI1
A531,0.81,Fair,2031,F,SI2
A532,0.55,Ideal,1768,D,VS2
A533,0.36,Premium,410,J,SI1
A534,1.51,Very Good,8637,I,SI1
A535,0.43,Very Good,890,E,VS1
A536,2.5,Fair,7854,G,I1
A537,1.5,Very Good,12798,G,VVS2
A538,1.51,Ideal,10553,G,VS2
A539,0.34,Good,641,E,SI1
A540,0.79,Premium,2275,H,SI1
A541,1.07,Ideal,6040,G,VS2
A542,1.05,Premium,4363,F,SI2
A543,0.59,Very Good,1254,H,SI2
A544,0.72,Premium,3078,E,VS2
A545,0.93,Ideal,3941,F,SI2
A546,0.71,Ideal,4029,D,VS2
A547,0.3,Very Good,684,G,VVS2
A548,0.58,Ideal,1641,G,VS2
A549,0.74,Ideal,2631,I,VS1
A550,0.56,Ideal,1270,H,SI1
A551,0.4,Ideal,677,F,SI2
A552,0.96,Fair,1705,H,I1
A553,0.32,Ideal,828,G,VS1
A554,0.34,Ideal,615,H,VS1
A555,0.45,Ideal,672,J,VS2
A556,1.01,Premium,4242,H,SI2
A557,1.5,Premium,14486,F,VS2
A558,0.35,Ideal,984,H,IF
A559,1.5,Good,8276,J,VVS2
A560,0.41,Ideal,818,E,SI2
A561,1.24,Premium,9738,D,VS2
A562,0.71,Ideal,1713,J,SI1
A563,0.4,Ideal,1128,F,VVS1
A564,0.26,Ideal,482,H,VS1
A565,0.29,Very Good,471,G,VS2
A566,1.28,Premium,6595,H,SI1
A567,2.3,Ideal,16181,I,SI2
A568,1.04,Very Good,4190,I,SI1
A569,0.5,Ideal,982,I,SI1
A570,1.39,Ideal,5021,F,SI2
A571,0.51,Ideal,1546,E,SI1
A572,0.36,Ideal,789,F,VS1
A573,0.31,Premium,732,D,SI1
A574,0.31,Ideal,789,G,VVS1
A575,1,Very Good,4255,F,SI2
A576,1.01,Premium,5599,E,SI1
A577,0.9,Very Good,4119,F,SI1
A578,1.02,Good,3427,H,SI2
A579,1.01,Premium,4242,H,SI2
A580,1.51,Good,10819,H,VS1
A581,0.41,Good,827,I,VVS2
A582,0.42,Ideal,1221,F,VVS2
A583,1.21,Premium,5431,J,VVS2
A584,0.25,Very Good,575,F,VVS2
A585,0.5,Fair,701,G,I1
A586,1.3,Ideal,12734,F,VVS2
A587,0.39,Ideal,849,I,VVS2
A588,0.4,Ideal,842,F,VS2
A589,0.57,Premium,1012,D,SI2
A590,1.2,Premium,5268,E,SI2
A591,0.5,Fair,1122,H,VS2
A592,0.71,Very Good,2586,I,VVS2
A593,0.54,Ideal,1695,E,VS2
A594,2.25,Very Good,14775,H,SI2
A595,0.73,Very Good,2503,F,VS2
A596,0.4,Premium,1125,G,VS1
A597,1.51,Premium,16091,G,VS2
A598,0.41,Very Good,1007,D,VS2
A599,2.02,Ideal,18077,G,VS2
A600,0.9,Very Good,4258,H,VS2
A601,0.66,Ideal,3103,D,VVS2
A602,0.56,Ideal,1941,H,VVS1
A603,0.38,Ideal,1133,E,VS1
A604,2.08,Ideal,15065,H,SI2
A605,0.35,Ideal,984,E,VS2
A606,0.34,Ideal,689,H,VS2
A607,0.9,Very Good,4617,F,VS2
A608,2.01,Premium,11646,I,SI1
A609,1.2,Very Good,5280,H,SI2
A610,0.4,Good,589,J,VS1
A611,1.23,Ideal,5951,H,SI2
A612,0.57,Ideal,2402,F,VVS2
A613,1.13,Ideal,11387,E,VVS2
A614,0.34,Very Good,459,I,SI1
A615,1.51,Premium,7357,J,VS2
A616,1.34,Ideal,8930,D,SI1
A617,0.9,Very Good,3057,I,SI2
A618,1.2,Good,8521,D,VS2
A619,1.02,Premium,4558,H,SI1
A620,0.31,Premium,698,H,VS1
A621,0.38,Ideal,973,G,VVS1
A622,1.21,Ideal,8616,G,VS1
A623,0.3,Ideal,422,I,SI1
A624,0.83,Ideal,3290,F,SI1
A625,0.32,Premium,828,G,VS1
A626,0.44,Premium,1155,F,VS1
A627,0.52,Very Good,1141,J,VS2
A628,0.26,Very Good,657,E,VVS1
A629,1.5,Very Good,10584,H,VS1
A630,1.06,Ideal,7788,E,VS2
A631,0.9,Very Good,4234,H,VS1
A632,0.37,Very Good,696,F,VS2
A633,0.3,Very Good,526,H,VS1
A634,0.36,Ideal,828,F,VVS2
A635,0.31,Good,698,E,SI1
A636,0.7,Ideal,2745,E,SI1
A637,2.02,Premium,15996,H,SI2
A638,0.45,Very Good,1263,G,VVS1
A639,0.39,Premium,921,J,VVS1
A640,1.31,Premium,8979,G,VS2
A641,1.06,Premium,7627,G,VVS2
A642,0.5,Ideal,2376,D,VVS2
A643,1.01,Premium,4338,G,SI1
A644,0.6,Very Good,1250,E,SI2
A645,0.32,Ideal,843,E,VVS2
A646,1.72,Very Good,11638,E,SI2
A647,0.53,Ideal,1753,D,SI1
A648,1,Very Good,4702,H,SI1
A649,1.01,Premium,4707,H,SI1
A650,0.91,Very Good,3994,I,VS2
A651,0.57,Very Good,1180,I,SI1
A652,1.25,Premium,7560,H,VS1
A653,1.2,Premium,9475,G,VVS2
A654,1.5,Ideal,13135,G,VS2
A655,1.03,Premium,6659,G,VS1
A656,0.42,Premium,992,E,SI1
A657,0.7,Premium,2184,H,SI2
A658,1.01,Premium,5543,D,SI1
A659,1,Premium,6048,G,VS2
A660,0.32,Ideal,892,E,VVS1
A661,1.07,Ideal,5405,F,SI2
A662,0.52,Premium,1577,G,VS2
A663,0.31,Ideal,464,H,SI1
A664,2.02,Premium,13117,I,SI2
A665,0.7,Premium,2782,D,SI1
A666,0.41,Premium,1076,G,VVS2
A667,1.71,Good,12224,E,SI1
A668,0.94,Premium,3758,E,SI2
A669,0.58,Premium,1949,E,SI1
A670,0.81,Ideal,3514,H,SI1
A671,0.31,Ideal,548,D,SI1
A672,2.11,Premium,12554,J,SI2
A673,1.1,Very Good,3678,F,I1
A674,1.51,Very Good,7154,G,SI2
A675,1.01,Ideal,8688,F,VVS2
A676,0.4,Ideal,727,I,VS2
A677,0.31,Ideal,490,F,SI1
A678,1.51,Good,8975,I,VS1
A679,0.35,Ideal,827,D,SI1
A680,1.09,Good,7493,D,VS1
A681,1.01,Very Good,10800,D,VVS2
A682,0.72,Premium,1944,J,VS2
A683,1.06,Ideal,4270,I,SI2
A684,1.04,Fair,4566,E,SI2
A685,0.31,Ideal,646,H,VS2
A686,0.3,Very Good,709,I,VVS1
A687,0.3,Very Good,421,H,SI1
A688,0.41,Ideal,1007,F,VS1
