"id","basket_value","recency_days","Item_1","Item_2","Item_3","Item_4","Item_5","Item_6","Item_7","Item_8","Item_9","Item_10","Item_11","Item_12","Item_13","Item_14","Item_15","Item_16","Item_17","Item_18","Item_19","Item_20","Item_21","Item_22","Item_23","Item_24","Item_25","Item_26","Item_27","Item_28","Item_29","Item_30","Item_31","Item_32"
24,7.2,3,"tropical fruit","cream cheese ","processed cheese","detergent","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,,,
25,7.2,21,"tropical fruit","root vegetables","other vegetables","frozen dessert","rolls/buns","flour","sweet spreads","salty snack","waffles","candy","bathroom cleaner",,,,,,,,,,,,,,,,,,,,,
26,1.4,11,"bottled water","canned beer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,1.5,73,"yogurt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,11.9,11,"sausage","rolls/buns","soda","chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.3,9,"other vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.7,52,"brown bread","soda","fruit/vegetable juice","canned beer","newspapers","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,
31,2.9,38,"yogurt","beverages","bottled water","specialty bar",,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,4.9,28,"hamburger meat","other vegetables","rolls/buns","spices","bottled water","hygiene articles","napkins",,,,,,,,,,,,,,,,,,,,,,,,,
33,4.1,47,"root vegetables","other vegetables","whole milk","beverages","sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,
34,9.3,9,"pork","berries","other vegetables","whole milk","whipped/sour cream","artif. sweetener","soda","abrasive cleaner",,,,,,,,,,,,,,,,,,,,,,,,
36,5.8,76,"pastry","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,4.1,49,"root vegetables","other vegetables","whole milk","dessert",,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.1,2,"citrus fruit","zwieback","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,8.8,5,"sausage","rolls/buns","soda","canned beer","specialty bar","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,
42,12.2,76,"tropical fruit","root vegetables","whole milk","yogurt","domestic eggs","brown bread","pastry","sugar","cereals","coffee","soda","waffles","candy",,,,,,,,,,,,,,,,,,,
43,1.5,66,"berries","yogurt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,11.9,6,"butter milk","yogurt","cream cheese ","spread cheese","rolls/buns","bottled water","soda","newspapers",,,,,,,,,,,,,,,,,,,,,,,,
47,5.5,76,"pastry","bottled water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.2,73,"rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,11.6,4,"root vegetables","other vegetables","butter","curd","whipped/sour cream","UHT-milk","hard cheese","rolls/buns","bottled water","long life bakery product",,,,,,,,,,,,,,,,,,,,,,
51,7.1,2,"sausage","rolls/buns","cat food","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.5,71,"ham","grapes","other vegetables","whole milk",,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3.4,30,"turkey","tropical fruit","other vegetables","curd","domestic eggs","brown bread","semi-finished bread","margarine","baking powder","fruit/vegetable juice",,,,,,,,,,,,,,,,,,,,,,
55,4.4,27,"whole milk","yogurt","processed cheese","pickled vegetables","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,
56,6.8,76,"whole milk","curd","yogurt","pastry",,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,6.7,2,"rolls/buns","oil","bottled water","chewing gum","chocolate marshmallow","hygiene articles","napkins",,,,,,,,,,,,,,,,,,,,,,,,,
59,7.3,22,"ham","beef","whipped/sour cream","ice cream","rolls/buns","cat food",,,,,,,,,,,,,,,,,,,,,,,,,,
60,6.3,76,"rolls/buns","pastry","sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,2.5,69,"other vegetables","whole milk","frozen vegetables","canned fish","salty snack","seasonal products","detergent",,,,,,,,,,,,,,,,,,,,,,,,,
62,9,76,"sausage","pastry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,6.1,10,"sausage","beef","whole milk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,4.3,35,"frankfurter","tropical fruit","rolls/buns","brown bread","sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,
65,8,76,"rolls/buns","pastry","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,1.2,7,"whole milk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,6.1,1,"sausage","whole milk","curd",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,8.6,16,"tropical fruit","pip fruit","berries","whole milk","frozen potato products","rolls/buns","pickled vegetables","chocolate",,,,,,,,,,,,,,,,,,,,,,,,
72,4.3,50,"whole milk","butter","margarine","specialty fat","specialty chocolate","candles","flower (seeds)",,,,,,,,,,,,,,,,,,,,,,,,,
73,5.4,69,"frankfurter","citrus fruit","whole milk","domestic eggs","oil","sparkling wine","specialty chocolate","newspapers",,,,,,,,,,,,,,,,,,,,,,,,
74,2.9,35,"whole milk","meat spreads","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,4.7,31,"other vegetables","whole milk","rolls/buns","sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,6.4,76,"citrus fruit","whole milk","curd","butter milk","pastry",,,,,,,,,,,,,,,,,,,,,,,,,,,
78,1.4,11,"flour","salt","bottled water","fruit/vegetable juice","bottled beer",,,,,,,,,,,,,,,,,,,,,,,,,,,
79,3.1,34,"sugar","bottled water","soda","bottled beer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,3.1,40,"chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,5,47,"root vegetables","whole milk","frozen vegetables","domestic eggs","rolls/buns","oil","margarine","canned vegetables","fruit/vegetable juice","bathroom cleaner",,,,,,,,,,,,,,,,,,,,,,
83,1.6,58,"root vegetables","onions","hard cheese","frozen vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,1.4,11,"bottled water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,10.2,19,"sausage","root vegetables","onions","yogurt","rolls/buns","brandy","detergent",,,,,,,,,,,,,,,,,,,,,,,,,
88,6.4,11,"pork","other vegetables","whipped/sour cream",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,1.5,64,"berries","yogurt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,1.7,61,"soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,7.7,17,"citrus fruit","butter milk","yogurt","cream cheese ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,9.3,22,"pork","hamburger meat","citrus fruit","berries","onions","whipped/sour cream","rice","coffee","chocolate",,,,,,,,,,,,,,,,,,,,,,,
97,7.1,13,"sausage","sliced cheese","rolls/buns","brown bread","fruit/vegetable juice","canned beer","red/blush wine","waffles","shopping bags",,,,,,,,,,,,,,,,,,,,,,,
98,6.1,9,"chicken","hamburger meat","citrus fruit","tropical fruit","root vegetables","other vegetables","butter","pasta","oil","detergent",,,,,,,,,,,,,,,,,,,,,,
99,2.7,64,"whole milk","yogurt","brown bread",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,3.2,45,"citrus fruit","tropical fruit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1.7,67,"soda","misc. beverages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,14.1,76,"sausage","pork","grapes","whole milk","rolls/buns","pastry","soda","specialty bar","bathroom cleaner",,,,,,,,,,,,,,,,,,,,,,,
103,3.6,46,"frankfurter","rolls/buns","bottled water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,7.6,18,"sausage","whole milk","yogurt","coffee","fruit/vegetable juice","bottled beer","softener","napkins","photo/film","shopping bags",,,,,,,,,,,,,,,,,,,,,,
105,1.7,62,"soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,2.2,75,"rolls/buns","fruit/vegetable juice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,2.7,52,"beef","citrus fruit","berries","root vegetables","brown bread","detergent",,,,,,,,,,,,,,,,,,,,,,,,,,
108,10.2,2,"whole milk","whipped/sour cream","rolls/buns","soda","waffles","candy","cling film/bags",,,,,,,,,,,,,,,,,,,,,,,,,
110,2.1,55,"tropical fruit","pip fruit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,10,12,"frankfurter","sausage","root vegetables","other vegetables","rolls/buns","oil","pickled vegetables","bottled beer","chewing gum","dishes",,,,,,,,,,,,,,,,,,,,,,
112,1.4,11,"packaged fruit/vegetables","bottled water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4.8,26,"whole milk","dessert","frozen vegetables","rolls/buns","margarine","bottled water","red/blush wine","newspapers",,,,,,,,,,,,,,,,,,,,,,,,
114,5.1,32,"berries","whipped/sour cream",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1.1,2,"citrus fruit","berries","UHT-milk","processed cheese",,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,4.8,29,"tropical fruit","whole milk","yogurt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,3.4,50,"hamburger meat","whole milk","frozen vegetables","rolls/buns","bottled beer","sparkling wine",,,,,,,,,,,,,,,,,,,,,,,,,,
118,4.2,31,"hamburger meat","other vegetables","whole milk","frozen vegetables","domestic eggs","soda","dishes",,,,,,,,,,,,,,,,,,,,,,,,,
119,8,15,"whole milk","cream cheese ","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,5.4,76,"fish","other vegetables","pastry","margarine","coffee","long life bakery product","male cosmetics","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,
121,4.9,27,"frankfurter","sausage","long life bakery product","waffles",,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,5.8,76,"pastry","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1.3,9,"other vegetables","red/blush wine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,14.4,17,"frankfurter","sausage","citrus fruit","tropical fruit","pip fruit","whole milk","hard cheese","cream cheese ","domestic eggs","rice","sugar","canned fruit","misc. beverages","fruit/vegetable juice","hygiene articles",,,,,,,,,,,,,,,,,
129,7.1,6,"sausage","butter milk","rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,2.7,74,"whole milk","yogurt","beverages","brown bread","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1.7,53,"berries","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,3.4,48,"tropical fruit","other vegetables","coffee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1.7,70,"soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,2.2,70,"rolls/buns","Instant food products",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,8.3,8,"frankfurter","sausage","whole milk","rolls/buns","margarine",,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1.3,9,"other vegetables","misc. beverages","canned beer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1.2,7,"whole milk","frozen vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1.2,6,"whole milk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,6.2,8,"citrus fruit","butter","cream cheese ","white bread","oil","margarine","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,
146,2.2,71,"frankfurter","rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,4.7,36,"frankfurter","ham","pip fruit","other vegetables","whole milk","soft cheese","frozen vegetables","rolls/buns","sugar","baking powder",,,,,,,,,,,,,,,,,,,,,,
148,3.2,48,"butter milk","yogurt","honey","soda","detergent",,,,,,,,,,,,,,,,,,,,,,,,,,,
149,4.7,30,"hamburger meat","citrus fruit","onions","rolls/buns","bottled water","dental care",,,,,,,,,,,,,,,,,,,,,,,,,,
151,5.6,67,"other vegetables","whole milk","meat spreads","cake bar","chocolate","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,
152,6,17,"sausage","pork","citrus fruit","dessert","white bread","dishes","candles",,,,,,,,,,,,,,,,,,,,,,,,,
153,2.2,76,"rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,2.8,26,"grapes","other vegetables","curd","dessert","yogurt","napkins",,,,,,,,,,,,,,,,,,,,,,,,,,
155,5.6,53,"root vegetables","other vegetables","whole milk","yogurt","beverages","soft cheese","frozen vegetables","fruit/vegetable juice","bottled beer",,,,,,,,,,,,,,,,,,,,,,,
158,6.5,13,"whole milk","rolls/buns","sugar","bottled water","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,
159,4.6,49,"tropical fruit","other vegetables","packaged fruit/vegetables","whole milk","snack products",,,,,,,,,,,,,,,,,,,,,,,,,,,
161,3.4,32,"whole milk","butter","dessert","rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,1.7,75,"frankfurter","soda","chewing gum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,3.5,38,"tropical fruit","specialty cheese","bottled water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,1.3,9,"finished products","other vegetables","frozen vegetables","bottled beer",,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,1.7,61,"beverages","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,2.8,26,"hamburger meat","root vegetables","whole milk",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,5.3,76,"whole milk","pastry","long life bakery product",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,1.3,9,"other vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,4.6,37,"ham","tropical fruit","other vegetables","whole milk","white bread","brown bread","fruit/vegetable juice","bottled beer",,,,,,,,,,,,,,,,,,,,,,,,
172,1.3,9,"other vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,4.8,49,"curd","dessert","soda","salty snack","waffles","cake bar","chocolate","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,
176,6.3,13,"whole milk","cream cheese ","cereals","dog food",,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,1.2,6,"whole milk","salt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,5.1,29,"dessert","ice cream",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,4.9,49,"sausage","soft cheese","coffee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,2.7,55,"other vegetables","bottled water","waffles","dishes","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,
181,3.4,50,"ham","whole milk","rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,6.4,17,"other vegetables","ice cream",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,2.7,54,"other vegetables","bottled water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,1.7,57,"soda","bottled beer","white wine","prosecco",,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,12.8,3,"frankfurter","ham","tropical fruit","pip fruit","root vegetables","other vegetables","whole milk","butter","curd","yogurt","whipped/sour cream","soft cheese","sliced cheese","cream cheese ","frozen meals","frozen fish","domestic eggs","white bread","sugar","cereals","fruit/vegetable juice","bottled beer","waffles",,,,,,,,,
187,2.2,72,"rolls/buns","canned beer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,5.1,43,"curd","cream cheese ","semi-finished bread","zwieback","cake bar","specialty bar","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,
189,3.3,26,"frankfurter","tropical fruit","whole milk","spread cheese","margarine","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,
190,1.3,9,"other vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,2.2,68,"frankfurter","rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1.7,66,"soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,2.8,27,"beef","berries","root vegetables","whole milk","dessert","spread cheese","brown bread",,,,,,,,,,,,,,,,,,,,,,,,,
199,1.1,2,"frankfurter","citrus fruit","UHT-milk","margarine","sugar",,,,,,,,,,,,,,,,,,,,,,,,,,,
200,4.9,27,"sausage","bottled beer","liquor (appetizer)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,3.1,39,"specialty chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,2.2,63,"curd","rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,2.6,68,"whole milk","bottled water","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,2.2,65,"rolls/buns","chewing gum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,4.1,30,"pork","root vegetables","other vegetables","whole milk","dishes",,,,,,,,,,,,,,,,,,,,,,,,,,,
208,5.2,76,"citrus fruit","pastry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,8,76,"rolls/buns","pastry","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,4.6,42,"butter","yogurt","bottled water","soda","make up remover","hygiene articles",,,,,,,,,,,,,,,,,,,,,,,,,,
213,9.4,9,"sausage","other vegetables","yogurt","soda","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,
214,2.9,28,"whole milk","beverages","UHT-milk","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,8.3,19,"sausage","pork","beef","whole milk","rolls/buns","margarine",,,,,,,,,,,,,,,,,,,,,,,,,,
218,1.4,11,"bottled water","fruit/vegetable juice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,6.6,1,"sausage","soda","newspapers","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,15.8,9,"sausage","beef","citrus fruit","other vegetables","whole milk","butter milk","whipped/sour cream","beverages","hard cheese","rolls/buns","dish cleaner","cookware",,,,,,,,,,,,,,,,,,,,
226,8.8,16,"sausage","sliced cheese","rolls/buns","soda","canned beer","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,
228,2.1,62,"frankfurter","meat","tropical fruit","onions","oil","baking powder","tea","cling film/bags",,,,,,,,,,,,,,,,,,,,,,,,
229,7.3,7,"ice cream","rolls/buns","canned beer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,6.4,12,"tropical fruit","berries","root vegetables","other vegetables","bottled water","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,
232,11.1,21,"meat","citrus fruit","other vegetables","curd","dessert","butter milk","beverages","cream cheese ","rolls/buns","brown bread","tea","bottled water",,,,,,,,,,,,,,,,,,,,
233,2.6,63,"whole milk","mustard","bottled water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,7.1,11,"sausage","beef","beverages","sliced cheese","rolls/buns","spices","house keeping products","flower (seeds)",,,,,,,,,,,,,,,,,,,,,,,,
235,8.7,22,"frankfurter","sausage","root vegetables","butter","curd","sliced cheese","rolls/buns","salty snack","long life bakery product",,,,,,,,,,,,,,,,,,,,,,,
236,3.5,27,"meat","other vegetables","butter","rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,1.6,75,"root vegetables","beverages","Instant food products","pickled vegetables","detergent",,,,,,,,,,,,,,,,,,,,,,,,,,,
238,6.3,4,"root vegetables","herbs","other vegetables","whole milk","sliced cheese","rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,
239,6.3,19,"whole milk","whipped/sour cream","semi-finished bread","margarine",,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,11.1,21,"citrus fruit","whole milk","curd","dessert","yogurt","whipped/sour cream","frozen dessert","rolls/buns","salt","sugar","cereals","canned vegetables","canned fish","skin care","hygiene articles","napkins",,,,,,,,,,,,,,,,
241,5.2,76,"citrus fruit","curd","pastry","margarine","sugar","candy","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,
242,5.6,55,"other vegetables","whole milk","bottled water","soda","misc. beverages","bottled beer","red/blush wine","napkins",,,,,,,,,,,,,,,,,,,,,,,,
243,4.5,33,"citrus fruit","whole milk","rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,4.9,34,"sausage","oil","hygiene articles","napkins",,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,4.2,31,"frankfurter","beef","hamburger meat","grapes","root vegetables","whole milk","butter","frozen dessert","potato products","bottled water","bottled beer",,,,,,,,,,,,,,,,,,,,,
246,3.6,32,"hard cheese","rolls/buns","bottled water","newspapers",,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,12.1,14,"cream cheese ","rolls/buns","soda","chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,10.3,23,"pork","other vegetables","whipped/sour cream","rolls/buns","soda","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,
250,1.2,6,"whole milk","beverages",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,3.9,27,"rolls/buns","soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,11.2,3,"sausage","pip fruit","whole milk","curd","yogurt","sliced cheese","rolls/buns","bottled water","hygiene articles",,,,,,,,,,,,,,,,,,,,,,,
253,5.1,45,"ice cream",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,1.3,9,"pip fruit","other vegetables","fruit/vegetable juice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,4.4,50,"root vegetables","other vegetables","yogurt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,1.7,58,"soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,1.7,57,"soda",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,20.5,26,"sausage","citrus fruit","tropical fruit","other vegetables","whole milk","yogurt","rolls/buns","bottled water","soda","chocolate","newspapers",,,,,,,,,,,,,,,,,,,,,
260,2.8,27,"root vegetables","whole milk","pet care","detergent",,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,7,76,"pork","berries","root vegetables","other vegetables","pastry","specialty bar",,,,,,,,,,,,,,,,,,,,,,,,,,
263,3.1,36,"chocolate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,1.4,11,"bottled water",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,12.2,13,"frankfurter","sausage","butter","whipped/sour cream","rolls/buns","margarine","spices",,,,,,,,,,,,,,,,,,,,,,,,,
268,6.3,5,"tropical fruit","pip fruit","onions","other vegetables","whole milk","domestic eggs","sugar","soups","tea","soda","hygiene articles","napkins",,,,,,,,,,,,,,,,,,,,
270,1.6,58,"root vegetables",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,5.6,57,"meat","citrus fruit","berries","root vegetables","whole milk","soda",,,,,,,,,,,,,,,,,,,,,,,,,,
272,3.6,42,"frankfurter","rolls/buns","bottled water","fruit/vegetable juice","hygiene articles",,,,,,,,,,,,,,,,,,,,,,,,,,,
273,2.1,54,"tropical fruit","margarine","rum",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,10,7,"tropical fruit","root vegetables","herbs","whole milk","butter milk","whipped/sour cream","flour","hygiene articles",,,,,,,,,,,,,,,,,,,,,,,,
275,10.3,5,"citrus fruit","pip fruit","root vegetables","other vegetables","whole milk","cream cheese ","domestic eggs","brown bread","margarine","baking powder","waffles",,,,,,,,,,,,,,,,,,,,,
276,11.7,76,"hamburger meat","other vegetables","whole milk","curd","yogurt","rolls/buns","pastry","semi-finished bread","margarine","bottled water","fruit/vegetable juice",,,,,,,,,,,,,,,,,,,,,
277,13,18,"chicken","pip fruit","other vegetables","whole milk","dessert","yogurt","whipped/sour cream","rolls/buns","pasta","soda","waffles",,,,,,,,,,,,,,,,,,,,,
278,8.2,23,"chicken","citrus fruit","tropical fruit","root vegetables","whole milk","frozen fish","rolls/buns",,,,,,,,,,,,,,,,,,,,,,,,,
279,7.5,4,"frankfurter","citrus fruit","onions","other vegetables","whole milk","rolls/buns","sugar","soda",,,,,,,,,,,,,,,,,,,,,,,,
281,4.1,76,"turkey","pip fruit","salad dressing","pastry",,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,4.1,41,"packaged fruit/vegetables","whole milk","curd","yogurt","domestic eggs","brown bread","mustard","pickled vegetables","bottled water","misc. beverages",,,,,,,,,,,,,,,,,,,,,,
284,3.2,34,"citrus fruit","tropical fruit",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,9.8,6,"sausage","whole milk","yogurt","rolls/buns","brown bread","pot plants",,,,,,,,,,,,,,,,,,,,,,,,,,
286,5.3,76,"whole milk","frozen meals","pastry","fruit/vegetable juice","waffles",,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1.1,2,"citrus fruit","sugar","sauces",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,4.6,34,"citrus fruit","other vegetables","rolls/buns","salty snack","shopping bags",,,,,,,,,,,,,,,,,,,,,,,,,,,
291,4.9,50,"sausage",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,3.9,37,"chicken","other vegetables","whole milk","vinegar","oil","bottled water","canned beer","napkins","newspapers",,,,,,,,,,,,,,,,,,,,,,,
293,10.7,20,"hamburger meat","root vegetables","other vegetables","whole milk","yogurt","whipped/sour cream","specialty cheese","flour","margarine",,,,,,,,,,,,,,,,,,,,,,,
